MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,Gender
-226.80435,199.44098,-7.6924667,31.815697,2.5465753,-10.733913,-10.841975,-13.183725,11.515904,-4.036805,-5.9868183,11.288188,3.6990237,-13.026528,-7.795619,1.5852265,-10.26598,-3.3830483,-0.5178819,-6.523144,322.708474814411,0.046600341796875,0
-247.45705,125.71152,-13.154587,57.77116,-5.8693714,-22.64739,-15.18071,-19.989927,9.9178095,-16.154928,-10.979955,3.1578696,-10.397728,-4.1372714,-19.614006,-11.684261,2.268198,-5.6086335,14.590695,22.67234,433.6239623923047,0.0716552734375,0
-298.63586,111.33845,7.1366534,74.77304,-25.50367,-33.165096,11.653229,-20.50973,-16.143646,-13.239723,-17.768438,-10.504447,-4.7867494,-7.280474,-12.262055,-8.451347,-13.460618,-11.40836,-8.614853,-13.028882,323.5251587604206,0.0399169921875,0
-230.52301,143.13264,-50.81727,53.262184,-9.402287,10.960556,13.554407,-2.3460588,31.166615,-2.9692745,-3.2309384,-0.59454757,0.1733247,11.240572,-1.5042644,6.7046375,4.768699,-2.3054454,-2.0102773,-4.600997,162.81702842789588,0.005767822265625,1
-228.19888,183.43254,-27.775047,44.82637,-29.393677,-37.50257,11.222862,-31.611065,-21.62336,-1.5387422,-10.579129,-12.297769,-16.92378,-17.682058,-14.427404,-4.691457,-4.3528786,-10.736647,-13.596111,-12.370441,206.0807092634304,0.05078125,1
-211.9342,143.46278,-5.871622,82.3388,-25.56714,-5.6483865,-14.620381,-33.28582,13.506023,-21.771826,-12.999869,0.25987244,-3.9110181,-0.93011194,-7.2791076,4.316325,-3.2311134,-5.274164,-1.2979721,-4.2533765,297.0640875180003,0.088409423828125,0
-209.28975,193.65666,-17.285992,39.588833,-12.74322,-14.87713,12.81356,-7.7472076,4.488427,-4.411132,-8.334627,-6.5068507,-11.748148,4.6213775,4.1740637,-5.182606,-3.2074215,-0.9702797,-1.1564839,-3.1663094,179.75192051984368,0.04766845703125,1
-178.34515,179.04865,-55.14244,34.006508,-31.864573,-4.512642,-4.9728694,-36.11898,-11.522472,-25.19021,3.415516,3.0721493,-16.374784,-1.1675975,-2.2739663,-8.778751,-17.842247,-16.349827,-15.912027,-17.419071,124.98673769538895,0.061126708984375,1
-207.71344,189.38992,-50.701393,22.322289,-1.0655549,-6.2092257,13.901651,-11.95482,6.0937243,0.5512799,-7.6402135,2.016109,-2.0343435,1.7651958,-2.7046638,1.1424956,-0.4339554,-9.650267,-0.6274084,-7.9122505,293.2621156596714,0.062957763671875,0
-222.63666,150.64235,-28.453646,46.89351,-26.573,-14.986406,26.884314,-17.22041,1.4313492,-1.9798582,-13.100485,0.035512418,-10.485363,-8.892939,-8.447996,-5.045164,-2.9780827,-10.293562,-3.6926115,-5.8244553,175.68805592142076,0.099700927734375,1
-261.6887,183.08295,-19.323408,1.9914666,-19.620747,-16.32806,-4.8715186,-42.873444,-21.281145,-2.634401,-10.126492,-5.587893,-12.962109,-0.16851863,-0.2683754,-10.842753,8.051894,-3.7435915,-13.135485,1.9194598,179.92120171673875,0.050140380859375,1
-207.41852,194.14172,-46.081768,65.10166,4.9433804,-1.5764619,17.37075,-7.688067,9.912711,2.678774,7.1444125,-2.1471128,0.45932317,15.757618,-1.4674903,3.5998535,5.0494413,1.5373361,4.607134,2.2466555,0.0,0.04864501953125,1
-218.3399,148.85857,-40.02377,62.25918,-33.452515,3.5358067,-21.56012,-36.647614,19.988878,-25.203114,-4.2980824,-6.52042,-15.132172,6.463524,-15.7326,-7.174105,-11.283138,-17.137764,-7.684789,-14.35238,146.0177337907936,0.108367919921875,1
-236.11221,167.60822,-55.531685,27.63588,-14.460374,-3.6009588,18.033026,-14.164602,12.105562,3.3427937,-6.9150667,0.76461667,-3.065708,0.07134938,-6.261815,-0.19176877,0.048595905,-4.1194468,2.6739488,-0.71173024,412.4371979668924,0.073333740234375,0
-236.8324,133.9852,20.234097,94.92473,-25.28694,-26.572802,13.270482,-18.739447,-7.3789053,-6.341599,-1.4866966,-0.17744493,-0.35523668,-1.8226564,-8.861855,-2.0816035,-9.034254,-6.995366,-4.7400427,-11.023691,240.3398889612953,0.0634765625,0
-214.39453,194.37904,-46.08767,60.238583,5.2055197,-2.9178407,24.878567,-8.279514,10.6847105,-1.5503196,-4.8868375,8.430917,1.2845631,10.864418,1.6899166,-3.2985842,7.4919033,4.4514284,2.3164077,5.967524,75.6619100376142,0.032867431640625,1
-299.95654,137.08533,18.380802,9.206262,-11.542345,-16.213352,-22.880714,-26.647251,4.373509,-9.624611,-27.568268,-4.8999276,-11.37953,-18.612053,-10.612707,-21.446419,-21.43077,-11.640671,-8.152184,3.2441444,382.3183652144587,0.033050537109375,0
-189.32286,188.54459,-33.273582,54.05829,-6.336399,12.685976,12.384175,-6.1814513,14.092428,2.0907025,11.529084,0.42469925,9.568995,14.8253975,-0.3769703,4.802011,-1.8812249,3.641168,3.4843009,2.6062403,72.32079628833478,0.03656005859375,1
-229.74315,158.84694,-28.817434,63.398376,-20.828081,11.243098,2.668663,-21.610285,18.682625,-18.728708,5.2842207,6.1848016,-10.849522,11.017096,-9.775558,-4.4520454,3.4660854,-3.7110152,0.5261109,-1.0012641,143.79833559067583,0.087249755859375,1
-216.51672,161.81815,-33.405563,64.32302,-10.222904,-29.721352,-14.774906,-13.701656,12.215389,-22.76037,-14.3688,-10.704693,-24.488792,-3.845555,-16.059235,-16.95153,-10.179871,-7.673552,8.107529,2.4513543,370.4879085559511,0.09259033203125,0
-212.49452,138.84937,-34.61052,70.45589,-41.574814,-53.550194,-14.126911,-24.40173,1.3709095,-14.328782,-6.359106,-5.4052057,-13.975279,-6.306394,-19.720358,-9.022871,-8.156591,-15.648264,-6.178414,-10.608504,315.88282110563523,0.068878173828125,0
-310.2127,162.06581,19.236814,-2.3120127,-21.764452,-26.22377,-29.108337,-9.066641,-4.399318,-25.268456,-3.0900881,2.136146,-15.452079,-12.33177,-5.676549,-9.854858,-15.693722,-2.422996,1.76545,-4.2527857,325.1721094937289,0.05865478515625,0
-319.18048,123.43748,43.06624,51.540924,33.650196,22.7215,26.747028,14.915802,11.200327,5.383097,1.9567837,6.9320517,3.1484213,3.2787883,4.627046,2.3988543,4.940055,4.4587984,3.7986393,4.936306,85.32179350382945,0.007476806640625,0
-220.9438,160.6995,1.7920725,57.289337,-60.11007,-2.2946134,7.5458245,-41.63794,5.0590763,-21.353786,-14.229988,1.2967505,-10.41667,-1.1649686,-6.228138,-1.976017,-8.277086,-5.4062376,7.2125344,-3.9286146,164.01604491417478,0.117767333984375,1
-226.7208,159.0054,-22.824434,21.07274,-23.226017,-15.866901,-3.3055964,-31.252956,0.72437954,-3.0332608,-9.492958,2.1200414,-10.753235,-5.4112153,-3.8787394,-6.391854,-5.566703,-7.6570253,-0.83724767,-4.0830564,330.7968544140156,0.045745849609375,0
-171.18497,154.75974,-61.704536,56.299046,-31.489342,0.57443476,-6.0866613,-38.56572,15.910086,-13.199887,-4.4927306,-7.6138754,-18.334309,4.9569893,-15.377791,-15.756633,-10.379332,-11.940332,-9.249552,-13.56222,166.99297515403535,0.105499267578125,1
-248.37782,169.60841,-43.510593,16.98816,5.000983,-45.350044,-25.989262,-18.258991,-18.512157,-20.682865,-15.573101,-3.7899256,-13.132377,-19.026525,-14.533272,-13.115028,-4.550658,-5.760068,-15.108128,-10.73181,269.42553347167376,0.052764892578125,0
